azimuth[deg], altitude[deg], patchArea, vector.x, vector.y, vector.z, radiance
83.66197, 7.5, 0.001218203308722143, 0.985385055, 0.109449559, 0.130526192, 0.2159649102273946
88.73239, 7.5, 0.001218203308722143, 0.991202232, 0.02193283, 0.130526192, 0.24850564726618782
93.80282, 7.5, 0.001218203308722143, 0.989261907, -0.065755554, 0.130526192, 0.28554748271474195
98.87324, 7.5, 0.001218203308722143, 0.979579266, -0.152929312, 0.130526192, 0.3268207928734194
103.94366, 7.5, 0.001218203308722143, 0.96223009, -0.23890619, 0.130526192, 0.37202764467091837
109.01408, 7.5, 0.001218203308722143, 0.937350158, -0.323013304, 0.130526192, 0.4208201334307765
114.08451, 7.5, 0.001218203308722143, 0.90513419, -0.4045924, 0.130526192, 0.4727405451618762
119.15493, 7.5, 0.001218203308722143, 0.865834321, -0.483005013, 0.130526192, 0.5271016780509515
124.22535, 7.5, 0.001218203308722143, 0.819758123, -0.557637456, 0.130526192, 0.5827838016380263
129.29577, 7.5, 0.001218203308722143, 0.767266207, -0.62790563, 0.130526192, 0.637939383457558
134.3662, 7.5, 0.001218203308722143, 0.708769393, -0.693259591, 0.130526192, 0.689655821678166
139.43662, 7.5, 0.001218203308722143, 0.644725497, -0.753187856, 0.130526192, 0.7337668643100833
144.50704, 7.5, 0.001218203308722143, 0.57563575, -0.807221405, 0.130526192, 0.7651997112533732
149.57746, 7.5, 0.001218203308722143, 0.502040872, -0.854937352, 0.130526192, 0.7792378485232833
154.64789, 7.5, 0.001218203308722143, 0.424516845, -0.895962255, 0.130526192, 0.7734236395191761
159.71831, 7.5, 0.001218203308722143, 0.343670397, -0.929975038, 0.130526192, 0.7488032718187061
164.78873, 7.5, 0.001218203308722143, 0.260134262, -0.956709506, 0.130526192, 0.7093764454355491
169.85915, 7.5, 0.001218203308722143, 0.174562224, -0.975956425, 0.130526192, 0.6602756001923467
174.92958, 7.5, 0.001218203308722143, 0.087624001, -0.987565161, 0.130526192, 0.6061371618992174
180.0, 7.5, 0.001218203308722143, 0.0, -0.991444861, 0.130526192, 0.5503970602400117
185.07042, 7.5, 0.001218203308722143, -0.087624001, -0.987565161, 0.130526192, 0.4953108484116862
190.14085, 7.5, 0.001218203308722143, -0.174562224, -0.975956425, 0.130526192, 0.4422631091298187
195.21127, 7.5, 0.001218203308722143, -0.260134262, -0.956709506, 0.130526192, 0.3920923878175221
200.28169, 7.5, 0.001218203308722143, -0.343670397, -0.929975038, 0.130526192, 0.3453338357094723
